kepid;kepoi_name;kepler_name;koi_disposition;koi_vet_stat;koi_vet_date;koi_pdisposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_disp_prov;koi_comment;koi_period;koi_period_err1;koi_period_err2;koi_time0bk;koi_time0bk_err1;koi_time0bk_err2;koi_time0;koi_time0_err1;koi_time0_err2;koi_eccen;koi_eccen_err1;koi_eccen_err2;koi_longp;koi_longp_err1;koi_longp_err2;koi_impact;koi_impact_err1;koi_impact_err2;koi_duration;koi_duration_err1;koi_duration_err2;koi_ingress;koi_ingress_err1;koi_ingress_err2;koi_depth;koi_depth_err1;koi_depth_err2;koi_ror;koi_ror_err1;koi_ror_err2;koi_srho;koi_srho_err1;koi_srho_err2;koi_fittype;koi_prad;koi_prad_err1;koi_prad_err2;koi_sma;koi_sma_err1;koi_sma_err2;koi_incl;koi_incl_err1;koi_incl_err2;koi_teq;koi_teq_err1;koi_teq_err2;koi_insol;koi_insol_err1;koi_insol_err2;koi_dor;koi_dor_err1;koi_dor_err2;koi_limbdark_mod;koi_ldm_coeff4;koi_ldm_coeff3;koi_ldm_coeff2;koi_ldm_coeff1;koi_parm_prov;koi_max_sngle_ev;koi_max_mult_ev;koi_model_snr;koi_count;koi_num_transits;koi_tce_plnt_num;koi_tce_delivname;koi_quarters;koi_bin_oedp_sig;koi_trans_mod;koi_model_dof;koi_model_chisq;koi_datalink_dvr;koi_datalink_dvs;koi_steff;koi_steff_err1;koi_steff_err2;koi_slogg;koi_slogg_err1;koi_slogg_err2;koi_smet;koi_smet_err1;koi_smet_err2;koi_srad;koi_srad_err1;koi_srad_err2;koi_smass;koi_smass_err1;koi_smass_err2;koi_sage;koi_sage_err1;koi_sage_err2;koi_sparprov;ra;dec;koi_kepmag;koi_gmag;koi_rmag;koi_imag;koi_zmag;koi_jmag;koi_hmag;koi_kmag;koi_fwm_stat_sig;koi_fwm_sra;koi_fwm_sra_err;koi_fwm_sdec;koi_fwm_sdec_err;koi_fwm_srao;koi_fwm_srao_err;koi_fwm_sdeco;koi_fwm_sdeco_err;koi_fwm_prao;koi_fwm_prao_err;koi_fwm_pdeco;koi_fwm_pdeco_err;koi_dicco_mra;koi_dicco_mra_err;koi_dicco_mdec;koi_dicco_mdec_err;koi_dicco_msky;koi_dicco_msky_err;koi_dikco_mra;koi_dikco_mra_err;koi_dikco_mdec;koi_dikco_mdec_err;koi_dikco_msky;koi_dikco_msky_err
10910878;K00757.01;Kepler-229 c;c;Done;16.08.2018;c;1;0;0;0;0;q1_q17_dr25_sup_koi;NO_COMMENT;16.06864674;0.00001088;-0.00001088;173.621937;0.000517;-0.000517;2455006.622;0.000517;-0.000517;0;;;;;;0.052;0.262;-0.052;3.5347;0.0241;-0.0241;;;;4914.3;33.3;-33.3;0.062161;0.000913;-0.000428;3.6659;0.11507;-0.51226;LS+MCMC;5.76;0.22;-0.49;0.1158;;;89.92;;;600;;;30.75;4.46;-6.66;36.85;1.2;-1.2;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.1451;0.582;q1_q17_dr25_koi;20.457163;137.44981;161.9;3;69;1;q1_q17_dr25_tce;1.11111E+31;0.1819;Mandel and Agol (2002 ApJ 580 171);;;010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf;010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf;5031;75;-83;4.485;0.083;-0.028;0.16;0.15;-0.15;0.848;0.033;-0.072;0.801;0.052;-0.03;;;;q1_q17_dr25_stellar;286.99948;48.37579;15.841;16.559;15.77;15.534;15.368;14.363;13.868;13.785;0.063;19.1332989;0.0000025;48.375778;0.000024;0.033;0.091;-0.044;0.086;0.00026;0.00063;0.00049;0.00078;0.041;0.075;-0.015;0.073;0.044;0.075;0.005;0.075;0.03;0.082;0.031;0.081
11446443;K00001.01;Kepler-1 b;c;Done;16.08.2018;c;0.811;0;0;0;0;q1_q17_dr25_sup_koi;CENT_SATURATED;2.470613377;0.000000027;-0.000000027;122.763305;0.0000087;-0.0000087;2454955.763;0.0000087;-0.0000087;0;;;;;;0.818;0.001;-0.001;1.74319;0.00107;-0.00107;;;;14231;4.2;-4.2;0.123871;0.000051;-0.000071;1.83538;0.00587;-0.00846;LS+MCMC;13.04;0.51;-0.51;0.0354;;;84.41;;;1339;;;761.46;106.21;-95.76;8.3977;0.0269;-0.0269;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.2676;0.3928;q1_q17_dr25_koi;544.1701;6468.04;4304.3;1;432;1;q1_q17_dr25_tce;1.11111E+31;0.1522;Mandel and Agol (2002 ApJ 580 171);;;011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf;011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf;5820;78;-78;4.457;0.024;-0.024;-0.06;0.15;-0.15;0.964;0.038;-0.038;0.971;0.062;-0.056;;;;q1_q17_dr25_stellar;286.80847;49.316399;11.338;11.736;11.275;11.168;11.126;10.232;9.92;9.846;0;19.12056404;0.000000046;49.31642961;0.00000049;-0.0232;0.0016;0.1066;0.0018;-0.00012;0.00012;0.00078;0.00019;-0.009;0.068;-0.3;0.16;0.3;0.16;0.015;0.069;-0.27;0.17;0.27;0.17
10666592;K00002.01;Kepler-2 b;c;Done;16.08.2018;c;1;0;1;0;0;q1_q17_dr25_sup_koi;MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE---CENT_SATURATED;2.204735417;0.000000043;-0.000000043;121.3585417;0.000016;-0.000016;2454954.359;0.000016;-0.000016;0;;;;;;0.224;0.159;-0.216;3.88864;0.00203;-0.00203;;;;6674.7;1.7;-1.7;0.075522;0.000298;-0.00035;0.37936;0.02846;-0.02633;LS+MCMC;16.1;0.81;-0.91;0.0376;;;87.21;;;2048;;;4148.92;651.59;-654.46;4.602;0.345;-0.345;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.3168;0.2958;q1_q17_dr25_koi;232.27;3862.1846;5945.9;1;611;1;q1_q17_dr25_tce;1.11111E+31;0;Mandel and Agol (2002 ApJ 580 171);;;010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf;010/010666/010666592/dv/kplr010666592-001-20160209194854_dvs.pdf;6440;76;-89;4.019;0.033;-0.027;0.14;0.15;-0.15;1.952;0.099;-0.11;1.449;0.07;-0.091;;;;q1_q17_dr25_stellar;292.24728;47.969521;10.463;10.935;10.49;;;9.555;9.344;9.334;;19.48316303;0.000000059;47.96930831;0.00000063;0.3986;0.0021;-0.7585;0.0023;-0.001754;0.000038;;;2.22;0.57;-3.29;0.5;3.97;0.7;2.02;0.69;-3.67;0.51;4.19;0.75
6922244;K00010.01;Kepler-8 b;c;Done;16.08.2018;c;0.998;0;0;0;0;q1_q17_dr25_sup_koi;NO_COMMENT;3.522498429;0.000000198;-0.000000198;121.1194228;0.0000471;-0.0000471;2454954.119;0.0000471;-0.0000471;0;;;;;;0.631;0.007;-0.007;3.19843;0.00653;-0.00653;;;;9145.7;6.6;-6.6;0.092086;0.000141;-0.000177;0.65374;0.01481;-0.01458;LS+MCMC;14.59;1.11;-1.11;0.0473;;;85.2;;;1521;;;1264.67;307.23;-276.48;7.541;0.171;-0.171;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.305;0.3201;q1_q17_dr25_koi;130.83832;1725.5824;1741.5;1;384;1;q1_q17_dr25_tce;1.11111E+31;0.6662;Mandel and Agol (2002 ApJ 580 171);;;006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf;006/006922/006922244/dv/kplr006922244-001-20160209194854_dvs.pdf;6225;112;-137;4.169;0.055;-0.045;-0.04;0.15;-0.15;1.451;0.11;-0.11;1.132;0.108;-0.078;;;;q1_q17_dr25_stellar;281.28812;42.45108;13.563;13.886;13.511;13.424;13.413;12.576;12.324;12.293;0;18.75252746;0.00000022;42.4510634;0.0000021;-0.5515;0.0087;-0.0597;0.0075;0.00001;0.00017;0.00036;0.00021;0.014;0.067;-0.013;0.067;0.02;0.067;-0.028;0.067;0.176;0.068;0.178;0.068
10984090;K00112.02;Kepler-466 c;c;Done;16.08.2018;c;1;0;0;0;0;q1_q17_dr25_sup_koi;NO_COMMENT;3.709214104;0.000006536;-0.000006536;133.98318;0.00143;-0.00143;2454966.983;0.00143;-0.00143;0;;;;;;0.051;0.395;-0.051;2.6302;0.0427;-0.0427;;;;131.1;3;-3;0.010424;0.000318;-0.000147;1.77451;0.06493;-0.57483;LS+MCMC;1.16;0.17;-0.12;0.0465;;;89.73;;;1206;;;500.46;197.96;-130.54;10.888;0.398;-0.398;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.2622;0.4035;q1_q17_dr25_koi;4.8657312;41.28873;50.6;2;352;2;q1_q17_dr25_tce;1.11111E+31;0.605;Mandel and Agol (2002 ApJ 580 171);;;010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf;010/010984/010984090/dv/kplr010984090-002-20160209194854_dvs.pdf;5833;105;-117;4.407;0.085;-0.114;-0.04;0.15;-0.15;1.022;0.143;-0.107;0.974;0.066;-0.066;;;;q1_q17_dr25_stellar;295.64871;48.49556;12.772;13.169;12.74;12.602;12.564;11.698;11.402;11.367;0.009;19.709924;0.0000076;48.495685;0.000079;0.36;0.27;0.45;0.28;-0.000046;0.000034;-0.00005;0.000036;0.24;0.16;-0.15;0.28;0.29;0.2;0.16;0.16;-0.13;0.27;0.21;0.21
11442465;K00768.01;;fp;Done;16.08.2018;fp;0;0;1;1;0;q1_q17_dr25_sup_koi;MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET;33.93373447;0.00006154;-0.00006154;186.67608;0.00137;-0.00137;2455019.676;0.00137;-0.00137;0;;;;;;0.812;0.006;-0.009;14.561;0.104;-0.104;;;;8503.7;44.3;-44.3;0.095386;0.000555;-0.000616;0.0371;0.00146;-0.00227;LS+MCMC;7.34;0.9;-0.6;0.1881;;;86.45;;;430;;;8.11;3.25;-2.06;13.12;0.516;-0.516;Claret (2011 A&A 529 75) ATLAS LS;0;0;0.1646;0.5508;q1_q17_dr25_koi;52.86124;193.4089;236.1;1;31;1;q1_q17_dr25_tce;1.11111E+31;0.0299;Mandel and Agol (2002 ApJ 580 171);;;011/011442/011442465/dv/kplr011442465-20160209194854_dvr.pdf;011/011442/011442465/dv/kplr011442465-001-20160209194854_dvs.pdf;5040;136;-151;4.628;0.03;-0.07;-0.24;0.3;-0.3;0.705;0.086;-0.058;0.782;0.063;-0.087;;;;q1_q17_dr25_stellar;284.17233;49.360722;15.716;16.453;15.673;15.4;15.253;14.249;13.732;13.748;0;18.9449095;0.0000018;49.360813;0.000017;3.101;0.063;0.336;0.06;-0.0247;0.001;-0.0016;0.0015;3.254;0.071;0.163;0.07;3.258;0.071;3.353;0.07;0.066;0.076;3.353;0.07
10419211;K00742.01;;fp;Done;2018-08-16;fp;0.0000;0;1;0;0;q1_q17_dr25_sup_koi;MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE;11.521446064;1.9800000e-06;-1.9800000e-06;170.8396880;1.310000e-04;-1.310000e-04;2455003.840;1.310000e-04;-1.310000e-04;0;;;;;;2.4830;2.8510;-0.6730;3.63990;0.01140;-0.01140;;;;1.7984e+04;3.190e+01;-3.190e+01;1.625358;2.847129e+00;-6.633390e-01;1.27376;2.30242;-0.41065;LS+MCMC;150.51;3.976e+01;-1.331e+01;0.0978;;;83.13;;;753.0;;;75.88;58.89;-19.99;20.750000;9.400000;-9.400000;Claret (2011 A&A 529 75) ATLAS LS;0.0000;0.0000;0.2711;0.3858;q1_q17_dr25_koi;92.9015660;628.3708000;622.10;1;96;1;q1_q17_dr25_tce;11111101110111011000000000000000;0.15400;Mandel and Agol (2002 ApJ 580 171);;;010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf;010/010419/010419211/dv/kplr010419211-001-20160209194854_dvs.pdf;5795.00;155.00;-172.00;4.554;0.033;-0.176;-0.2000;0.2500;-0.3000;0.8480;0.2240;-0.0750;0.9380;0.0980;-0.1090;;;;q1_q17_dr25_stellar;297.079930;47.597401;15.472;15.994;15.419;15.249;15.153;14.248;13.831;13.827;0.895;19.805330550;0.000000650;47.59738940;0.00000640;0.06800;0.02400;-0.03800;0.02300;0.000000e+00;1.50000e-03;1.000000e-04;2.20000e-03;0.0090;0.0670;-0.0090;0.0670;0.0130;0.0670;0.1470;0.0670;0.0370;0.0700;0.1510;0.0670
10464078;K00743.01;;fp;Done;2018-08-16;fp;0.0000;0;1;0;0;q1_q17_dr25_sup_koi;MOD_SEC_DV---HAS_SEC_TCE;19.403937760;2.0680000e-05;-2.0680000e-05;172.4842530;8.420000e-04;-8.420000e-04;2455005.484;8.420000e-04;-8.420000e-04;0;;;;;;0.8040;0.0070;-0.0050;12.21550;0.05980;-0.05980;;;;8.9187e+03;5.330e+01;-5.330e+01;0.096729;5.330000e-04;-5.320000e-04;0.03785;0.00107;-0.00172;LS+MCMC;7.18;7.600e-01;-6.800e-01;0.1230;;;84.93;;;523.0;;;17.69;6.66;-4.88;9.099000;0.257000;-0.257000;Claret (2011 A&A 529 75) ATLAS LS;0.0000;0.0000;0.1908;0.5172;q1_q17_dr25_koi;49.4687650;320.9081700;214.70;1;71;1;q1_q17_dr25_tce;11111111111111111000000000000000;0.80600;Mandel and Agol (2002 ApJ 580 171);;;010/010464/010464078/dv/kplr010464078-20160209194854_dvr.pdf;010/010464/010464078/dv/kplr010464078-001-20160209194854_dvs.pdf;5043.00;151.00;-151.00;4.591;0.072;-0.048;-0.5400;0.3500;-0.3000;0.6800;0.0720;-0.0650;0.6570;0.0850;-0.0360;;;;q1_q17_dr25_stellar;289.258210;47.635319;15.487;16.229;15.440;15.169;14.985;13.950;13.429;13.287;0.048;19.283882340;0.000000640;47.63531870;0.00000580;0.03800;0.02300;-0.00500;0.02100;-3.800000e-04;8.70000e-04;-2.000000e-04;1.30000e-03;-0.0010;0.0670;0.0090;0.0680;0.0090;0.0680;-0.1470;0.0680;-0.0380;0.0690;0.1520;0.0680
10480982;K00744.01;;fp;Done;2018-08-16;fp;0.0000;0;1;0;0;q1_q17_dr25_sup_koi;DEEP_V_SHAPED;19.221388942;1.1230000e-06;-1.1230000e-06;184.5521637;4.500000e-05;-4.500000e-05;2455017.552;4.500000e-05;-4.500000e-05;0;;;;;;1.0650;0.0310;-0.0340;4.79843;0.00235;-0.00235;;;;7.4284e+04;2.190e+01;-2.190e+01;0.476633;2.450100e-02;-2.774400e-02;1.57359;0.00657;-0.02917;LS+MCMC;49.29;1.603e+01;-5.000e+00;0.1417;;;88.05;;;698.0;;;55.97;54.55;-16.40;31.323000;0.131000;-0.131000;Claret (2011 A&A 529 75) ATLAS LS;0.0000;0.0000;0.2916;0.3447;q1_q17_dr25_koi;387.6580000;2174.4263000;2317.00;2;55;1;q1_q17_dr25_tce;11111101110111011000000000000000;0.00030;Mandel and Agol (2002 ApJ 580 171);;;010/010480/010480982/dv/kplr010480982-20160209194854_dvr.pdf;010/010480/010480982/dv/kplr010480982-001-20160209194854_dvs.pdf;6117.00;182.00;-200.00;4.496;0.052;-0.208;-0.2200;0.2500;-0.3500;0.9470;0.3080;-0.0960;1.0250;0.1390;-0.1390;;;;q1_q17_dr25_stellar;295.814540;47.690350;15.341;15.798;15.293;15.145;15.053;14.200;13.863;13.727;0.000;19.720965300;0.000000150;47.69027590;0.00000160;-0.12350;0.00550;-0.26670;0.00560;-5.000000e-04;9.00000e-03;-2.000000e-03;1.30000e-02;0.0030;0.0670;0.0050;0.0670;0.0060;0.0670;-0.0180;0.0680;-0.2030;0.0670;0.2030;0.0670
10485250;K00745.01;;fp;Done;2018-08-16;fp;0.0000;0;1;0;0;q1_q17_dr25_sup_koi;MOD_SEC_DV---HAS_SEC_TCE;16.469837740;1.3610000e-05;-1.3610000e-05;180.8817610;6.230000e-04;-6.230000e-04;2455013.882;6.230000e-04;-6.230000e-04;0;;;;;;0.2920;0.1180;-0.1010;9.43780;0.06000;-0.06000;;;;1.0479e+04;3.990e+01;-3.990e+01;0.092509;5.980000e-04;-1.109000e-03;0.19353;0.02009;-0.01907;LS+MCMC;7.94;8.900e-01;-8.900e-01;0.1147;;;88.81;;;595.0;;;29.61;12.01;-8.91;14.050000;1.500000;-1.500000;Claret (2011 A&A 529 75) ATLAS LS;0.0000;0.0000;0.2075;0.4900;q1_q17_dr25_koi;43.1625000;258.8247000;303.40;1;66;1;q1_q17_dr25_tce;01111101110111011000000000000000;0.01120;Mandel and Agol (2002 ApJ 580 171);;;010/010485/010485250/dv/kplr010485250-20160209194854_dvr.pdf;010/010485/010485250/dv/kplr010485250-001-20160209194854_dvs.pdf;5152.00;168.00;-153.00;4.517;0.088;-0.072;-0.2000;0.3000;-0.3000;0.7860;0.0880;-0.0880;0.7410;0.1060;-0.0570;;;;q1_q17_dr25_stellar;297.154420;47.668701;15.788;16.529;15.724;15.470;15.290;14.176;13.688;13.555;0.000;19.810292770;0.000000870;47.66863050;0.00000950;-0.09200;0.03200;-0.25000;0.03400;7.000000e-04;1.30000e-03;8.000000e-04;1.90000e-03;-0.0400;0.0680;-0.0040;0.0670;0.0400;0.0680;0.0170;0.0700;0.0010;0.0720;0.0170;0.0710
